VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2008,2008,79.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2009,2009,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2010,2010,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2011,2011,80.7,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2012,2012,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2013,2013,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2014,2014,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2015,2015,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2016,2016,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2017,2017,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2018,2018,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2019,2019,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2020,2020,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2005,2005,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2006,2006,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2007,2007,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2008,2008,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2009,2009,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2010,2010,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2011,2011,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2012,2012,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2013,2013,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2014,2014,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2015,2015,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2016,2016,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2017,2017,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2018,2018,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2019,2019,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2020,2020,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2005,2005,76.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2006,2006,76.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2007,2007,77,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2008,2008,77.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2009,2009,77.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2010,2010,77.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2011,2011,78,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2012,2012,78.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2013,2013,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2014,2014,78.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2015,2015,78.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2016,2016,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2017,2017,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2018,2018,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2019,2019,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2020,2020,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2005,2005,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2006,2006,78.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2007,2007,78.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2008,2008,78.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2009,2009,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2010,2010,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2011,2011,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2012,2012,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2013,2013,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2014,2014,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2015,2015,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2016,2016,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2017,2017,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2018,2018,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2019,2019,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2020,2020,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2005,2005,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2006,2006,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2007,2007,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2008,2008,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2009,2009,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2010,2010,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2011,2011,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2012,2012,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2013,2013,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2014,2014,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2015,2015,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2016,2016,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2017,2017,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2018,2018,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2019,2019,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2020,2020,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2005,2005,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2006,2006,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2007,2007,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2008,2008,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2009,2009,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2010,2010,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2011,2011,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2012,2012,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2013,2013,82.4,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2014,2014,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2015,2015,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2016,2016,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2017,2017,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2018,2018,82.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2019,2019,83,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2020,2020,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2005,2005,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2006,2006,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2007,2007,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2008,2008,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2009,2009,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2010,2010,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2011,2011,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2012,2012,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2013,2013,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2014,2014,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2015,2015,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2016,2016,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2017,2017,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2018,2018,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2019,2019,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2020,2020,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2005,2005,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2006,2006,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2007,2007,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2008,2008,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2009,2009,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2010,2010,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2011,2011,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2012,2012,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2013,2013,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2014,2014,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2015,2015,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2016,2016,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2017,2017,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2018,2018,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2019,2019,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2020,2020,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2005,2005,73,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2006,2006,73.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2007,2007,73.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2008,2008,74.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2009,2009,74.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2010,2010,74.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2011,2011,75.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2012,2012,75.3,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2013,2013,75.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2014,2014,76,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2015,2015,75.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2016,2016,76.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2017,2017,76,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2018,2018,76.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2019,2019,76.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2020,2020,75.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2005,2005,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2006,2006,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2007,2007,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2008,2008,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2009,2009,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2010,2010,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2011,2011,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2012,2012,83,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2013,2013,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2014,2014,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2015,2015,82.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2016,2016,82.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2017,2017,82.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2018,2018,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2019,2019,83.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2020,2020,83.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2005,2005,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2006,2006,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2007,2007,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2008,2008,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2009,2009,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2010,2010,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2011,2011,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2012,2012,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2013,2013,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2014,2014,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2015,2015,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2016,2016,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2017,2017,82.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2018,2018,82.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2019,2019,82.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2020,2020,82.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2005,2005,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2006,2006,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2007,2007,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2008,2008,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2009,2009,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2010,2010,82.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2011,2011,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2012,2012,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2013,2013,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2014,2014,83.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2015,2015,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2016,2016,83.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2017,2017,83.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2018,2018,83.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2019,2019,83.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2020,2020,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2005,2005,82,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2006,2006,82.4,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2007,2007,82.6,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2008,2008,82.7,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2009,2009,83,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2010,2010,82.9,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2011,2011,82.7,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2012,2012,83.2,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2013,2013,83.4,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2014,2014,83.7,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2015,2015,83.9,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2016,2016,84.1,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2017,2017,84.2,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2018,2018,84.3,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2019,2019,84.4,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2020,2020,84.7,E,Estimated value
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2005,2005,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2006,2006,78.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2007,2007,79.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2008,2008,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2009,2009,80,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2010,2010,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2011,2011,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2012,2012,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2013,2013,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2014,2014,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2015,2015,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2016,2016,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2017,2017,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2018,2018,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2019,2019,83.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,KOR,Korea,2020,2020,83.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2005,2005,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2006,2006,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2007,2007,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2008,2008,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2009,2009,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2010,2010,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2011,2011,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2012,2012,81.5,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2013,2013,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2014,2014,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2015,2015,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2016,2016,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2017,2017,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2018,2018,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2019,2019,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,LUX,Luxembourg,2020,2020,82.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2005,2005,75.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2006,2006,75.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2007,2007,75.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2008,2008,75.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2009,2009,74.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2010,2010,74.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2011,2011,74.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2012,2012,75,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2013,2013,75,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2014,2014,75,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2015,2015,74.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2016,2016,74.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2017,2017,74.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2018,2018,75,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2019,2019,75.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,MEX,Mexico,2020,2020,75.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2005,2005,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2006,2006,80,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2007,2007,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2008,2008,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2009,2009,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2010,2010,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2011,2011,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2012,2012,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,NLD,Netherlands,2013,2013,81.4,,
