HF,Financing scheme,HC,Function,HP,Provider,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2015,2015,USD,US Dollar,0,Units,,,617.436,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2016,2016,USD,US Dollar,0,Units,,,644.638,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2017,2017,USD,US Dollar,0,Units,,,612.057,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2018,2018,USD,US Dollar,0,Units,,,626.09,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2019,2019,USD,US Dollar,0,Units,,,638.068,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",HUN,Hungary,2020,2020,USD,US Dollar,0,Units,,,674.66,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2011,2011,USD,US Dollar,0,Units,,,647.393,B,Break
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2012,2012,USD,US Dollar,0,Units,,,677.753,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2013,2013,USD,US Dollar,0,Units,,,636.915,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2014,2014,USD,US Dollar,0,Units,,,609.283,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2015,2015,USD,US Dollar,0,Units,,,614.512,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2016,2016,USD,US Dollar,0,Units,,,646.692,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2017,2017,USD,US Dollar,0,Units,,,660.48,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2018,2018,USD,US Dollar,0,Units,,,669.539,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2019,2019,USD,US Dollar,0,Units,,,644.374,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",IRL,Ireland,2020,2020,USD,US Dollar,0,Units,,,675.283,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",NZL,New Zealand,2005,2005,USD,US Dollar,0,Units,,,114.942,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",NZL,New Zealand,2006,2006,USD,US Dollar,0,Units,,,126.38,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",NZL,New Zealand,2007,2007,USD,US Dollar,0,Units,,,125.834,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2005,2005,USD,US Dollar,0,Units,,,700.403,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2006,2006,USD,US Dollar,0,Units,,,708.747,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2007,2007,USD,US Dollar,0,Units,,,756.73,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2008,2008,USD,US Dollar,0,Units,,,798.189,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2009,2009,USD,US Dollar,0,Units,,,828.433,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2010,2010,USD,US Dollar,0,Units,,,773.688,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2011,2011,USD,US Dollar,0,Units,,,781.209,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2012,2012,USD,US Dollar,0,Units,,,808.385,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2013,2013,USD,US Dollar,0,Units,,,848.609,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2014,2014,USD,US Dollar,0,Units,,,873.062,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2015,2015,USD,US Dollar,0,Units,,,921.13,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2016,2016,USD,US Dollar,0,Units,,,984.049,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2017,2017,USD,US Dollar,0,Units,,,998.129,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2018,2018,USD,US Dollar,0,Units,,,1009.032,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2019,2019,USD,US Dollar,0,Units,,,1002.947,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2020,2020,USD,US Dollar,0,Units,,,1046.495,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2005,2005,USD,US Dollar,0,Units,,,145.171,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2006,2006,USD,US Dollar,0,Units,,,158.167,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2007,2007,USD,US Dollar,0,Units,,,153.62,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2008,2008,USD,US Dollar,0,Units,,,155.391,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2009,2009,USD,US Dollar,0,Units,,,188.544,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2016,2016,USD,US Dollar,0,Units,,,0.123,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2017,2017,USD,US Dollar,0,Units,,,0.502,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2018,2018,USD,US Dollar,0,Units,,,0.414,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2019,2019,USD,US Dollar,0,Units,,,0.219,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",DNK,Denmark,2020,2020,USD,US Dollar,0,Units,,,0.201,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2005,2005,USD,US Dollar,0,Units,,,105.351,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2006,2006,USD,US Dollar,0,Units,,,117.623,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2007,2007,USD,US Dollar,0,Units,,,122.461,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2008,2008,USD,US Dollar,0,Units,,,135.606,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2009,2009,USD,US Dollar,0,Units,,,140.062,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2010,2010,USD,US Dollar,0,Units,,,139.716,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2011,2011,USD,US Dollar,0,Units,,,141.749,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2012,2012,USD,US Dollar,0,Units,,,139.632,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2013,2013,USD,US Dollar,0,Units,,,137.205,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2014,2014,USD,US Dollar,0,Units,,,144.208,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2015,2015,USD,US Dollar,0,Units,,,153.346,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2016,2016,USD,US Dollar,0,Units,,,161.203,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2017,2017,USD,US Dollar,0,Units,,,166.337,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2018,2018,USD,US Dollar,0,Units,,,169.438,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2019,2019,USD,US Dollar,0,Units,,,175.6,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ESP,Spain,2020,2020,USD,US Dollar,0,Units,,,190.091,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2005,2005,USD,US Dollar,0,Units,,,575.286,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2006,2006,USD,US Dollar,0,Units,,,575.84,B,Break
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2007,2007,USD,US Dollar,0,Units,,,602.733,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2008,2008,USD,US Dollar,0,Units,,,586.348,B,Break
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2009,2009,USD,US Dollar,0,Units,,,601.793,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2010,2010,USD,US Dollar,0,Units,,,621.945,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2011,2011,USD,US Dollar,0,Units,,,634.739,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2012,2012,USD,US Dollar,0,Units,,,628.129,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2013,2013,USD,US Dollar,0,Units,,,651.015,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2014,2014,USD,US Dollar,0,Units,,,657.672,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2015,2015,USD,US Dollar,0,Units,,,681.825,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2016,2016,USD,US Dollar,0,Units,,,698.585,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2017,2017,USD,US Dollar,0,Units,,,688.018,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2018,2018,USD,US Dollar,0,Units,,,699.548,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2019,2019,USD,US Dollar,0,Units,,,711.225,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BEL,Belgium,2020,2020,USD,US Dollar,0,Units,,,708.445,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2005,2005,USD,US Dollar,0,Units,,,268.292,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2006,2006,USD,US Dollar,0,Units,,,251.999,B,Break
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2007,2007,USD,US Dollar,0,Units,,,279.704,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2008,2008,USD,US Dollar,0,Units,,,276.691,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2009,2009,USD,US Dollar,0,Units,,,297.183,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2010,2010,USD,US Dollar,0,Units,,,298.766,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2011,2011,USD,US Dollar,0,Units,,,315.449,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2012,2012,USD,US Dollar,0,Units,,,324.162,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2013,2013,USD,US Dollar,0,Units,,,321.9,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2014,2014,USD,US Dollar,0,Units,,,315.496,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2015,2015,USD,US Dollar,0,Units,,,337.239,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2016,2016,USD,US Dollar,0,Units,,,359.963,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2017,2017,USD,US Dollar,0,Units,,,368.001,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",ISR,Israel,2018,2018,USD,US Dollar,0,Units,,,400.391,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BRA,Brazil,2015,2015,USD,US Dollar,0,Units,,,281.06,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BRA,Brazil,2016,2016,USD,US Dollar,0,Units,,,275.607,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BRA,Brazil,2017,2017,USD,US Dollar,0,Units,,,282.507,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BRA,Brazil,2018,2018,USD,US Dollar,0,Units,,,293.83,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",BRA,Brazil,2019,2019,USD,US Dollar,0,Units,,,305.165,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2005,2005,USD,US Dollar,0,Units,,,171.519,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2006,2006,USD,US Dollar,0,Units,,,181.066,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2007,2007,USD,US Dollar,0,Units,,,191.447,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2008,2008,USD,US Dollar,0,Units,,,202.471,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2009,2009,USD,US Dollar,0,Units,,,207.476,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2010,2010,USD,US Dollar,0,Units,,,214.672,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2011,2011,USD,US Dollar,0,Units,,,228.191,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2012,2012,USD,US Dollar,0,Units,,,230.819,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2013,2013,USD,US Dollar,0,Units,,,248.254,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2014,2014,USD,US Dollar,0,Units,,,256.791,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2015,2015,USD,US Dollar,0,Units,,,267.64,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2016,2016,USD,US Dollar,0,Units,,,279.606,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2017,2017,USD,US Dollar,0,Units,,,290.047,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2018,2018,USD,US Dollar,0,Units,,,292.747,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",AUS,Australia,2019,2019,USD,US Dollar,0,Units,,,288.065,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2005,2005,USD,US Dollar,0,Units,,,610.569,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2006,2006,USD,US Dollar,0,Units,,,682.92,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2007,2007,USD,US Dollar,0,Units,,,724.406,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2008,2008,USD,US Dollar,0,Units,,,817.125,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2009,2009,USD,US Dollar,0,Units,,,815.435,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2010,2010,USD,US Dollar,0,Units,,,806.935,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2011,2011,USD,US Dollar,0,Units,,,762.938,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2012,2012,USD,US Dollar,0,Units,,,669.052,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2013,2013,USD,US Dollar,0,Units,,,602.812,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2014,2014,USD,US Dollar,0,Units,,,616.223,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2015,2015,USD,US Dollar,0,Units,,,652.188,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2016,2016,USD,US Dollar,0,Units,,,740.579,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2017,2017,USD,US Dollar,0,Units,,,725.12,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2018,2018,USD,US Dollar,0,Units,,,710.544,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2019,2019,USD,US Dollar,0,Units,,,726.54,,
HFTOT,All financing schemes,HC5,Medical goods (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",GRC,Greece,2020,2020,USD,US Dollar,0,Units,,,809.072,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2005,2005,USD,US Dollar,0,Units,,,143.332,,
HFTOT,All financing schemes,HC4,Ancillary services (non-specified by function),HPTOT,All providers,PPPPER,"Per capita, current prices, current PPPs",CHE,Switzerland,2006,2006,USD,US Dollar,0,Units,,,144.898,,
